timestamp,location,serial,power,cadence,front,rear
2023-04-28T18:17:30.252957,wheel,19005,179.0,88.0,40,5
2023-04-28T18:17:31.186085,crank,52853,198.9,92.0,40,5
2023-04-28T18:17:31.685463,crank,52853,209.6,93.1,40,5
2023-04-28T18:17:31.751008,wheel,19005,188.0,90.0,40,5
2023-04-28T18:17:32.250392,wheel,19005,171.8,89.0,40,5
2023-04-28T18:17:32.434425,crank,52853,184.4,91.8,40,5
2023-04-28T18:17:32.684228,crank,52853,182.7,91.4,40,5
2023-04-28T18:17:32.749787,wheel,19005,165.2,89.0,40,5
2023-04-28T18:17:33.498982,wheel,19005,177.6,89.0,40,5
2023-04-28T18:17:33.932736,crank,52853,208.3,91.7,40,5
2023-04-28T18:17:34.247836,wheel,19005,188.2,89.0,40,5
2023-04-28T18:17:34.747429,wheel,19005,175.0,89.0,40,5
2023-04-28T18:17:35.181295,crank,52853,188.3,91.0,40,5
2023-04-28T18:17:35.246554,wheel,19005,177.3,89.0,40,5
2023-04-28T18:17:35.929887,crank,52853,185.1,91.0,40,5
2023-04-28T18:17:35.995498,wheel,19005,173.2,88.0,40,5
2023-04-28T18:17:36.747628,wheel,19005,182.6,88.0,40,5
2023-04-28T18:17:37.178723,crank,52853,210.8,92.4,40,5
2023-04-28T18:17:37.243952,wheel,19005,212.2,88.0,40,5
2023-04-28T18:17:37.743246,wheel,19005,205.0,89.0,40,5
2023-04-28T18:17:37.927484,crank,52853,200.3,93.4,40,5
2023-04-28T18:17:38.243465,wheel,19005,180.0,89.0,40,5
2023-04-28T18:17:38.676553,crank,52853,204.1,91.8,40,5
2023-04-28T18:17:39.241636,wheel,19005,184.2,90.0,40,5
2023-04-28T18:17:39.425828,crank,52853,222.2,93.8,40,5
2023-04-28T18:17:39.740968,wheel,19005,198.1,90.0,40,5
2023-04-28T18:17:40.174950,crank,52853,216.4,92.9,40,5
2023-04-28T18:17:40.240353,wheel,19005,192.0,90.0,40,5
2023-04-28T18:17:40.424586,crank,52853,210.8,92.8,40,5
2023-04-28T18:17:40.739715,wheel,19005,186.5,90.0,40,5
2023-04-28T18:17:41.173688,crank,52853,186.6,92.9,40,5
2023-04-28T18:17:41.672868,crank,52853,170.8,91.7,40,5
2023-04-28T18:17:41.738511,wheel,19005,167.6,90.0,40,5
2023-04-28T18:17:42.237917,wheel,19005,164.1,90.0,40,5
2023-04-28T18:17:42.422163,crank,52853,177.4,91.0,40,5
2023-04-28T18:17:42.986804,wheel,19005,170.8,89.0,40,5
2023-04-28T18:17:43.171273,crank,52853,190.6,91.0,40,5
2023-04-28T18:17:43.236474,wheel,19005,175.1,89.0,40,5
2023-04-28T18:17:43.920399,crank,52853,195.5,91.6,40,5
2023-04-28T18:17:44.235087,wheel,19005,180.4,88.0,40,5
2023-04-28T18:17:44.669345,crank,52853,203.7,90.1,40,5
2023-04-28T18:17:44.734512,wheel,19005,189.2,89.0,40,5
2023-04-28T18:17:45.418290,crank,52853,215.4,92.5,40,5
2023-04-28T18:17:45.668343,crank,52853,187.2,92.0,40,5
2023-04-28T18:17:45.983250,wheel,19005,191.7,88.0,40,5
2023-04-28T18:17:46.232781,wheel,19005,178.5,88.0,40,5
2023-04-28T18:17:46.417090,crank,52853,181.6,90.8,40,5
2023-04-28T18:17:46.916685,crank,52853,190.6,91.0,40,5
2023-04-28T18:17:47.231451,wheel,19005,172.5,89.0,40,5
2023-04-28T18:17:47.665958,crank,52853,182.4,90.5,40,5
2023-04-28T18:17:47.730869,wheel,19005,177.1,88.0,40,5
2023-04-28T18:17:48.230188,wheel,19005,176.5,88.0,40,5
2023-04-28T18:17:48.664520,crank,52853,182.0,91.0,40,5
2023-04-28T18:17:48.729637,wheel,19005,176.1,88.0,40,5
2023-04-28T18:17:49.413729,crank,52853,188.8,90.2,40,5
